paragraph_index	status	original
222	converted	N_пал = n_сл · n_гр
223	converted	Q_уп = 3600 · N_пал / T_пал
249	converted	T_пал = t_п + Σ_{j=1}^{N_пал}(t_захв,j + t_пер,j + t_укл,j) + Σ_{k=1}^{n_сл-1}t_лист,k + t_отв
254	converted	F_{i,s} = {M_ср, M_max, σ_M, ω_ср, a_max, E}
255	converted	E_{i,s} = Σ |M_i(t) · ω_i(t)| · Δt
264	converted	D_raw → D_clean → F → HI → RUL → A_ТО
274	converted	K_з,i = M_max,i / M_доп,i
275	converted	L_i = Σ |M_i(t)| · Δt
301	converted	HI(t) = 1 - Σ_{j=1}^{p} w_j · f_j(t)
326	converted	HI(t) ≤ HI_кр или x_j(t) ≥ x_кр,j
328	converted	RUL_N = N_кр - N_тек
352	converted	C_Σ = C_ТО + P_отк · C_пр + C_инф
375	converted	S = {D, F, HI, RUL, A_ТО}
379	converted	MAE = (1/n) · Σ_{i=1}^{n}|RUL_i - RUL̂_i|
380	converted	RMSE = √[(1/n) · Σ_{i=1}^{n}(RUL_i - RUL̂_i)^2]
408	converted	d_k = {t_k, c_k, s_k, i, q_i, ω_i, a_i, M_i, event_k}
417	converted	x_norm = (x - x_min) / (x_max - x_min)
418	converted	F_W = {mean(x), max(x), std(x), rms(x), slope(x), E}
419	converted	slope(x) = [x(t_0 + Δt) - x(t_0)] / Δt
425	converted	V = N_s · N_p · f_s · b
427	converted	V_сут = V · T_см · K_зм
452	converted	R = Σ_{j=1}^{m} w_j · r_j
481	converted	RUL̂ = g(F, θ)
483	converted	K_пред = N_своевр / N_пред
491	converted	T_обн ≤ Δt_доп
492	converted	P_потерь ≤ P_доп
493	converted	K_готовн = T_работ / (T_работ + T_прост)
549	converted	K_готовн = T_работ / (T_работ + T_прост)
550	converted	ΔC_пр = C_пр,до - C_пр,после
551	converted	K_пред = N_своевр / N_пред
595	converted	d_k = {t_k, c_k, s_k, i, q_i, ω_i, a_i, M_i, event_k}
598	converted	F_W = {mean(x), max(x), std(x), rms(x), slope(x), E}
599	converted	E = Σ_{k=1}^{m} |M_i(t_k) · ω_i(t_k)| · Δt
601	converted	HI(t) = 1 - Σ_{j=1}^{p} w_j · f_j(t)
602	converted	RUL̂ = g(F_W, HI, θ)
606	converted	P_потерь = N_пот / N_общ ≤ P_доп
607	converted	T_обн ≤ Δt_доп
686	converted	Accept = 1, если K_i = 1 для всех i = 1...n; иначе Accept = 0
749	converted	D_raw -> D_clean -> W -> F_W -> HI -> RUL -> A_ТО
783	converted	N_укл = n_сл · (1 + n_уп)
784	converted	N_укл = 4 · (1 + 3) = 16
793	converted	α_i(N) = α_i,0 + k_i · N
794	converted	M_i,deg(t) = M_i(t) · (1 + α_i(N))
795	converted	T_s,deg = T_s · (1 + β_s · α_i(N))
802	converted	d_k = {t_k, c_k, s_k, i, q_i, ω_i, a_i, M_i, event_k}
806	converted	V_сек = N_p · N_s · f_s · b
807	converted	V_смена = V_сек · T_смена
809	converted	V_сек = 4 · 4 · 25 · 64 = 25600 байт/с
810	converted	V_час = 25600 · 3600 / 1024^2 = 87,9 Мбайт/ч
816	converted	x_norm(t) = (x(t) - x_min) / (x_max - x_min + ε)
820	converted	F_W = {μ_x, σ_x, x_max, x_min, RMS_x, slope_x, E_x}
821	converted	RMS_x = sqrt((1/m) · Σ_{k=1}^{m} x_k^2)
822	converted	slope_x = (x_m - x_1) / (t_m - t_1)
824	converted	E_i(W) = Σ_{k=1}^{m} |M_i(t_k) · ω_i(t_k)| · Δt
829	converted	HI_i(N) = 1 - Σ_{j=1}^{p} w_j · f_{i,j}(N)
830	converted	Σ_{j=1}^{p} w_j = 1
834	converted	HI_i(N) ≤ HI_кр
835	converted	f_{i,j}(N) ≥ f_кр,j
840	converted	RUL_i(N) = N_кр,i - N
841	converted	RUL_i(t) = t_кр,i - t
845	converted	X = {F_W, HI, c, s, i}
846	converted	y = RUL
872	converted	MAE = (1/n) · Σ_{i=1}^{n} |RUL_i - RUL̂_i|
873	converted	RMSE = sqrt((1/n) · Σ_{i=1}^{n} (RUL_i - RUL̂_i)^2)
875	converted	K_пред = N_своевр / N_пред
900	converted	P_пот = N_пот / N_ожид
901	converted	N_ожид = f_s · T_набл · N_p · N_s
929	converted	Warning = 1, если RUL̂ < T_пл + T_рез или HI ≤ HI_кр
953	converted	R_раб = {S_сцена, S_цикл, S_телем, S_признаки, S_RUL, S_БД, S_UI}
1007	converted	N_сл = 4; N_уп,сл = 3; N_лист = 4
1008	converted	N_уп = N_сл · N_уп,сл = 4 · 3 = 12
1009	converted	N_объект = N_лист + N_уп = 4 + 12 = 16
1011	converted	m_пер = max(m_лист, m_уп) = max(1,2; 63) = 63 кг
1012	converted	K_гр = m_пер / m_доп = 63 / 180 = 0,35
1042	converted	M_i,deg(t) = M_i(t) · [1 + α_i(N)] + ε_i(t)
1043	converted	α_i(N) = α_i,0 + k_i · N / N_кр
1044	converted	HI_i(N) = 1 - min(1; α_i(N) / α_i,кр)
1068	converted	D_lim = 1, если HI_i(N) ≤ HI_кр или x_j(N) ≥ x_кр,j
1072	converted	f_s = 1 / T_s = 1 / 0,04 = 25 Гц
1073	converted	a_i(k) = [ω_i(k) - ω_i(k - 1)] / [t_k - t_{k-1}]
1075	converted	d_k = {t_k, N, phase_k, layer_k, item_k, i, q_i, ω_i, a_i, M_i, carrying_k}
1115	converted	W_{N,s} = {d_k | cycle_k = N, phase_k = s, t_k ∈ [t_0, t_0 + Δt]}
1116	converted	M_rms = sqrt((1/n) · Σ_{k=1}^{n} M_i(k)^2)
1117	converted	E_i(W) = Σ_{k=1}^{n} |M_i(k) · ω_i(k)| · Δt
1118	converted	slope(x) = [x(t_0 + Δt) - x(t_0)] / Δt
1139	converted	x_norm = (x - x_min) / (x_max - x_min)
1145	converted	RUL_N(N) = N_кр - N
1146	converted	N_кр = min_i {N | HI_i(N) ≤ HI_кр}
1147	converted	RUL̂ = g(F_W, HI, θ)
1170	converted	MAE = (1/n) · Σ_{j=1}^{n} |RUL_j - RUL̂_j|
1171	converted	RMSE = sqrt((1/n) · Σ_{j=1}^{n} (RUL_j - RUL̂_j)^2)
1172	converted	R² = 1 - Σ(RUL_j - RUL̂_j)^2 / Σ(RUL_j - mean(RUL))^2
1177	converted	key = {robot_id, axis_id, cycle_id, phase, layer, item}
1178	converted	value = {q_i, ω_i, a_i, M_i, HI_i, RUL̂, carrying}
1201	converted	id_k = hash(robot_id, axis_id, cycle_id, phase_k, t_k)
1227	converted	A_ТО = 1, если RUL̂ < T_пл + T_рез или HI_i ≤ HI_кр
1233	converted	D_raw -> D_clean -> F_W -> HI -> RUL̂ -> A_ТО
1260	converted	S_готов = I_сцена · I_цикл · I_телем · I_признаки · I_RUL · I_UI
1261	converted	Accept = 1, если S_готов = 1; иначе Accept = 0
1263	converted	N_созд = N_лист + N_уп + 1 = 4 + 12 + 1 = 17
1273	converted	S_апр = I_сц · I_ц · I_тел · I_пр · I_RUL · I_UI
1274	converted	Accept = 1, если S_апр = 1; иначе Accept = 0
1295	converted	N_пер = N_сл · (1 + N_уп,сл) = 4 · (1 + 3) = 16
1296	converted	N_созд = N_пер + 1 = 17
1301	converted	T_набл = t_max - t_min = 23,6 с
1302	converted	Δt_ср = T_набл / (n - 1) = 23,6 / 472 = 0,05 с
1303	converted	f_набл = 1 / Δt_ср = 20 Гц
1309	converted	RUL_N(N) = N_кр - N
1310	converted	N_кр = min_i {N | HI_i(N) ≤ HI_кр}
1311	converted	MAE = (1/n) · Σ_{j=1}^{n} |RUL_j - RUL̂_j|
1312	converted	RMSE = sqrt((1/n) · Σ_{j=1}^{n} (RUL_j - RUL̂_j)^2)
1313	converted	R² = 1 - Σ(RUL_j - RUL̂_j)^2 / Σ(RUL_j - mean(RUL))^2
1320	converted	A_ТО = 1, если RUL̂ < T_пл + T_рез или HI_i ≤ HI_кр
1326	converted	K_дан = N_корр / N_общ
1327	converted	K_фаз = N_зап,phase / N_общ
1328	converted	K_пред = N_своевр / N_пред
1333	converted	C_пр = t_пр · C_ч + C_рем + C_бр
1334	converted	E_год = N_ав · P_пред · C_пр - C_экспл
1335	converted	T_ок = C_вн / E_год
1361	converted	Q_v = Σ_{j=1}^{m} w_j · r_{v,j}
